TeamId,Gmina,GminaNazwa,Powiat,PowiatNazwa,PollingStationNumber,A.01,A.01.1,A.02,A.03,A.04,A.05,A.06-inne,A.06-naklejka foliowa,A.06-opaska samozaciskowa,A.06-opieczetowany i podpisany pasek papieru,A.07,A.08,A.08.1,A.09,A.10,A.10.1,A.11,A.12,A.13,A.13.1,A.14,A.15,A.16,A.16.1,A.16.2,A.17,A.17.1,A.18,A.19,A.A,A.B,A.C,B.00,B.01,B.02,B.03,B.03.1,B.04,B.04.1,B.04.2,B.05,B.05.1,B.06,B.07,B.08,B.09,B.10,B.11,B.12,B.13,B.13.1,B.14,B.15,B.16,B.16.1-inne,B.16.1-naklejka foliowa,B.16.1-opaska samozaciskowa,B.16.1-opieczetowany i podpisany pasek papieru,B.16.2,B.17,B.18,B.18.1,B.18.2,B.19,B.19.1,B.20,B.20.1,B.21,B.22,B.22.1,B.22.2,B.23,B.23.1,B.24,B.25,B.26,B.A,B.B,B.C,C1.01,C1.01.1,C1.01.2,C1.03,C1.04,C1.04.1,C1.05,C1.06,C1.06.1,C1.07.a,C1.07.b,C1.07.c,C1.07.d,C1.08,C1.08.1,C1.09,C1.10,C1.11,C1.11.1,C1.12,C1.13,C1.14,C1.A,C1.B,C1.C,C2.0,C2.01,C2.01.1,C2.02,C2.03,C2.03+,C2.04,C2.04.1,C2.05,C2.06,C2.06.1,C2.07,C2.08,C2.08.1,C2.09,C2.10,C2.10.1,C2.11,C2.12,C2.13,C2.14,C2.15,C2.16,C2.A,C2.B,C2.C,Cg.00,Cg.01,Cg.02,Cg.02.1,Cg.03,Cg.04,Cg.05,Cg.05.1,Cg.05.2,Cg.05.3,Cg.05.4,Cg.06,Cg.06.1,Cg.07.a,Cg.07.b,Cg.08,Cg.08.1,Cg.09,Cg.09.1,Cg.09.2,Cg.10,Cg.11,Cg.11.1,Cg.11.2,Cg.12,Cg.13,Cg.14,Cg.A,Cg.B,Cg.C,Cp.00,Cp.01,Cp.02,Cp.02.1,Cp.03,Cp.04,Cp.05,Cp.05.1,Cp.05.2,Cp.05.3,Cp.05.4,Cp.06,Cp.06.1,Cp.07.a,Cp.07.b,Cp.08,Cp.08.1,Cp.09,Cp.09.1,Cp.09.2,Cp.10,Cp.11,Cp.11.1,Cp.11.2,Cp.12,Cp.13,Cp.14,Cp.A,Cp.B,Cp.C,Cs.00,Cs.01,Cs.02,Cs.02.1,Cs.03,Cs.04,Cs.05,Cs.05.1,Cs.05.2,Cs.05.3,Cs.05.4,Cs.06,Cs.06.1,Cs.07.a,Cs.07.b,Cs.08,Cs.08.1,Cs.09,Cs.09.1,Cs.09.2,Cs.10,Cs.11,Cs.11.1,Cs.11.2,Cs.12,Cs.13,Cs.14,Cs.A,Cs.B,Cs.C,Cw.00,Cw.01,Cw.02,Cw.02.1,Cw.03,Cw.04,Cw.05,Cw.05.1,Cw.05.2,Cw.05.3,Cw.05.4,Cw.06,Cw.06.1,Cw.07.a,Cw.07.b,Cw.08,Cw.08.1,Cw.09,Cw.09.1,Cw.09.2,Cw.10,Cw.11,Cw.11.1,Cw.11.2,Cw.12,Cw.13,Cw.14,Cw.A,Cw.B,Cw.C,D.0,D.01,D.02,D.02.1,D.02.2,D.02.3,D.03,D.03.1,D.03.2,D.03.3,D.04,D.05,D.05.1,D.06,D.07,D.08,D.09,D.09.1,D.10,D.11,D.A,D.B,D.C,QA.01,QA.02,QA.03,QA.04,QA.05,QB.01,QB.02,QB.03,QB.04,QB.05,QB.06,QC1.01,QC1.02,QC1.03,QC1.04,QC1.08,QC1.09,QC1.10,QC1.11
5,146510,Sródmiescie,146501,Warszawa,27,nie,1-15 min,tak,nie,tak,tak,,naklejka foliowa,,,tak,nie,nie,tak,tak,,nie,tak,nie,,nie,nie,nie,,,nie,,,7:00,zla,bardzo dobra,dobra,9,tak,tak,nie,nie,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,czesto,nie,nie,zawsze lub prawie zawsze,tak,,naklejka foliowa,,,tak,tak,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,tak,7:38,zla,bardzo dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2293,5,4,4,tak,2293,5,4,4,tak,9,,,,,,,,
6,141607,gm. Ostrów Mazowiecka,141600,ostrowski,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,tak,tak,tak,nie,,,,nie,,tak,,zawsze lub prawie zawsze,0,tak,tak,tak,czesto,tak,,zawsze lub prawie zawsze,tak,,,opaska samozaciskowa,,tak,nie,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,9,8,4,nie,,,,,,,,,
6,146514,Wawer,146501,Warszawa,523,tak,,tak,nie,tak,tak,,naklejka foliowa,,,nie,nie,,nie,nie,1-15 min,tak,tak,tak,mąż zaufania PiS,nie,,nie,,,tak,dozorca szkoły,tak,7:15,dobra,bardzo dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852,5,4,5,tak,,,,,,,,,,,,,,
7,140801,m. Legionowo,140800,legionowski,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,tak,tak,nie,nie,nie,Nie dotyvzy,Nie dotyvzy,tak,Mąż zaufania,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,,tak,nie,tak,czasami,tak,nie,zawsze lub prawie zawsze,tak,,,,,tak,nie,nie,nie,Nie dotyczy,nie,Nie dotyczy,nie,jedna z nas wyszła do łazienki i przewodniczący myśląc ze jesteśmy wyborcami pobiegł sprawdzić czy nie wynosi kart,nigdy lub prawie nigdy,nie,,nie,nie,Nie dotyczy,tak,nie,9:35,bardzo dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,7,4,4,tak,34,,,,,,,,
7,146502,Bemowo,146501,Warszawa,726,nie,16-30,tak,tak,nie,tak,,,,,nie,tak,nie,nie,tak,,tak,tak,tak,Mąż zaufania,tak,tak,nie,Nie bylo,nie,nie,Nie,tak,07:00,bardzo dobra,dobra,bardzo dobra,,tak,nie,tak,tak,nie,Nie dotyczy,Nie dotyczy,tak,Mąż zaufania,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,,tak,tak,tak,zawsze lub prawie zawsze,nie,nie,zawsze lub prawie zawsze,tak,,,,,nie,tak,nie,,Nie dotyczy,nie,Nie dotyczy,nie,Nie dotyczy,nigdy lub prawie nigdy,nie,Nie doryczy,nie,nie,Nie dotyczy,tak,nie,07:40,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,5,1,0,nie,,5,1,3,tak,2,,,,,,,,
8,146506,Ochota,146501,Warszawa,220,tak,,tak,tak,nie,nie,,naklejka foliowa,,,nie,nie,,tak,tak,,tak,tak,nie,,tak,nie,nie,,,nie,,,7:05,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1769,5,4,4,tak,,,,,,,,,,,,,,
9,146508,Praga-Pólnoc,146501,Warszawa,373,tak,,tak,nie,nie,tak,,naklejka foliowa,,,nie,nie,,nie,tak,,tak,tak,nie,,nie,tak,nie,,,nie,,tak,7:30,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800,5,3,3,tak,,,,,,,,,,,,,,
10,146506,Ochota,146501,Warszawa,216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,tak,nie,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,,,tak,tak,czasami,nie,nie,zawsze lub prawie zawsze,tak,,,,,tak,nie,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,5,5,2,tak,,,,,,,,,
10,146506,Ochota,146501,Warszawa,217,nie,16-30,tak,tak,nie,tak,,,,,tak,nie,nie,tak,tak,,tak,tak,nie,,tak,tak,nie,,tak,nie,,nie,7:00,dobra,zla,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,5,1,1,tak,,,,,,,,,,,,,,
10,146515,Wesola,146501,Warszawa,1007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ok. 30,tak,tak,tak,tak,nie,,,tak,Rada Europy; Akcja Demokracja,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,,tak,nie,tak,zawsze lub prawie zawsze,nie,nie,zawsze lub prawie zawsze,tak,,,,,tak,tak,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,9:15,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347,7,5,5,tak,90,,,,,,,,
11,146507,Praga-Poludnie,146501,Warszawa,447,tak,1-15 min,tak,nie,nie,tak,,naklejka foliowa,,,nie,tak,tak,tak,tak,,tak,tak,nie,,tak,tak,nie,,,nie,,nie,7:00,dobra,dobra,dobra,5,tak,tak,tak,tak,nie,,,nie,,tak,zawsze lub prawie zawsze,czesto,0,tak,tak,tak,czesto,nie,nie,zawsze lub prawie zawsze,tak,,naklejka foliowa,,,nie,nie,nie,,,nie,,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,nie,7:30,dobra,dobra,dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,928,5,5,2,tak,928,5,5,3,tak,5,,,,,,,,
11,146507,Praga-Poludnie,146501,Warszawa,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,tak,tak,nie,nie,nie,,,tak,,tak,zawsze lub prawie zawsze,zawsze lub prawie zawsze,0,tak,tak,tak,zawsze lub prawie zawsze,,,zawsze lub prawie zawsze,tak,,naklejka foliowa,,,tak,nie,nie,,,tak,brak reakcji,nie,,nigdy lub prawie nigdy,nie,,,nie,,tak,tak,9:15,bardzo dobra,bardzo dobra,bardzo dobra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1490,5,4,3,tak,14,,,,,,,,
11,146507,Praga-Poludnie,146501,Warszawa,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,tak,nie,nie,nie,nie,,,nie,,tak,czesto,zawsze lub prawie zawsze,0,nie,nie,tak,czasami,nie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723+1 obcokrajowiec+3pelnomocnictwa+,5,1,3,tak,ok.10%,,,,,,,,
